x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.027 0.000 0.000 0.000 0.887 2.869 922.676 327.475 19.199
0.002 -0.000 0.044 0.000 0.000 0.027 0.886 20.325 924.485 332.887 20.945
0.007 -0.001 0.058 0.000 0.000 0.044 0.891 15.137 931.725 340.102 17.454
0.018 -0.001 0.086 0.001 0.001 0.058 0.884 33.020 929.915 331.083 15.708
0.036 -0.001 0.086 0.002 0.002 0.086 0.873 27.588 928.105 350.926 24.435
0.061 -0.001 0.088 0.005 0.005 0.086 0.873 1.770 919.056 345.514 22.690
0.092 0.001 0.103 0.008 0.008 0.088 0.863 16.785 928.105 347.318 6.982
0.128 0.003 0.116 0.012 0.012 0.103 0.870 14.771 904.577 341.906 8.727
0.167 0.006 0.116 0.016 0.016 0.116 0.867 9.338 922.676 345.514 15.708
0.209 0.010 0.135 0.022 0.022 0.116 0.863 22.339 910.007 361.750 10.472
0.254 0.015 0.136 0.029 0.029 0.135 0.845 0.732 917.246 354.534 -6.982
0.301 0.020 0.144 0.036 0.036 0.136 0.860 9.827 917.246 354.534 -6.982
0.349 0.026 0.144 0.044 0.044 0.144 0.868 5.371 911.817 327.475 8.727
0.399 0.031 0.139 0.053 0.053 0.144 0.855 -6.470 902.768 343.710 3.491
0.449 0.038 0.163 0.062 0.062 0.139 0.876 27.893 881.050 347.318 6.982
0.501 0.046 0.156 0.071 0.071 0.163 0.864 -8.301 900.958 356.338 -1.745
0.554 0.053 0.156 0.080 0.080 0.156 0.845 22.888 886.479 356.338 -5.236
0.607 0.060 0.159 0.088 0.088 0.156 0.845 3.357 890.099 349.122 5.236
0.661 0.069 0.179 0.097 0.097 0.159 0.858 23.010 877.430 332.887 6.982
0.715 0.077 0.176 0.106 0.106 0.179 0.862 -3.357 875.620 341.906 8.727
0.769 0.085 0.176 0.115 0.115 0.176 0.875 0.977 877.430 340.102 31.417
0.823 0.093 0.172 0.124 0.124 0.176 0.871 -4.578 853.903 331.083 40.144
0.877 0.101 0.181 0.133 0.133 0.172 0.889 10.681 862.952 329.279 34.908
0.931 0.109 0.178 0.141 0.141 0.181 0.887 -3.662 862.952 329.279 34.908
0.986 0.118 0.178 0.150 0.150 0.178 0.889 4.517 852.093 329.279 52.361
1.040 0.125 0.159 0.159 0.159 0.178 0.901 -22.156 839.424 338.299 68.070
1.094 0.133 0.143 0.168 0.168 0.159 0.920 -17.883 832.185 334.691 82.033
1.147 0.140 0.125 0.177 0.177 0.143 0.963 -21.057 823.136 329.279 76.797
1.197 0.150 0.125 0.186 0.186 0.125 0.960 16.296 832.185 338.299 71.561
1.243 0.163 0.128 0.194 0.194 0.125 0.958 4.028 828.565 341.906 75.051
1.286 0.179 0.158 0.203 0.203 0.128 0.950 34.668 839.424 349.122 85.524
1.323 0.200 0.178 0.212 0.212 0.158 0.928 22.095 837.614 372.574 104.723
1.356 0.222 0.178 0.221 0.221 0.178 0.902 39.368 832.185 367.162 106.468
1.385 0.248 0.218 0.230 0.230 0.178 0.865 46.814 833.995 394.221 108.214
1.406 0.278 0.349 0.239 0.239 0.218 0.722 150.024 852.093 426.692 97.741
1.422 0.310 0.451 0.247 0.247 0.349 0.618 115.906 852.093 426.692 97.741
1.434 0.344 0.451 0.256 0.256 0.451 0.602 95.032 848.473 462.771 111.705
1.445 0.378 0.409 0.265 0.265 0.451 0.625 -47.302 833.995 469.987 118.686
1.455 0.412 0.414 0.274 0.274 0.409 0.651 5.676 839.424 464.575 95.996
1.464 0.447 0.360 0.283 0.283 0.414 0.726 -61.951 828.565 460.967 120.431
1.472 0.483 0.360 0.292 0.292 0.360 0.769 -51.941 850.283 439.320 130.904
1.480 0.518 0.322 0.301 0.301 0.360 0.835 -43.579 832.185 439.320 134.395
1.488 0.555 0.313 0.309 0.309 0.322 0.850 -10.803 848.473 437.516 136.140
1.496 0.592 0.301 0.318 0.318 0.313 0.866 -13.672 846.663 421.280 137.885
1.502 0.629 0.301 0.327 0.327 0.301 0.891 -15.564 835.805 410.457 137.885
1.509 0.666 0.292 0.336 0.336 0.301 0.918 -10.010 841.234 387.005 122.177
