1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
0.000 0.000 0.000 0.000 0.159 -0.159 0.159 -0.159
1.309 0.960 1.004 1.309 0.049 -0.007 0.208 -0.167
4.363 3.622 3.011 4.102 -0.161 0.311 0.475 -0.326
8.465 7.374 5.629 7.723 -0.396 0.677 1.029 -0.749
13.177 12.043 9.207 12.217 -1.113 1.427 1.440 -1.126
18.282 17.366 13.134 17.279 -1.890 1.967 1.998 -1.922
22.427 22.166 16.581 21.468 -2.766 2.306 2.494 -2.954
25.133 25.438 19.853 24.740 -3.866 2.627 2.796 -4.035
27.183 27.663 23.126 27.620 -5.195 2.887 2.904 -5.212
28.754 29.103 25.482 30.020 -6.355 3.005 3.255 -6.605
30.020 30.151 27.576 31.983 -7.887 3.222 3.250 -7.915
30.980 31.067 29.540 33.685 -9.319 3.168 3.290 -9.442
31.809 31.852 31.067 35.037 -10.988 2.826 2.847 -11.009
32.419 32.769 32.027 36.041 -12.759 2.082 2.037 -12.713
32.943 33.728 32.987 36.739 -14.322 1.162 1.473 -14.634
33.641 34.427 33.990 37.394 -16.395 -0.008 -0.070 -16.333
34.252 34.863 34.732 37.961 -18.280 -1.346 -1.323 -18.304
34.732 35.212 34.994 38.310 -20.235 -2.635 -2.576 -20.294
34.994 35.430 35.168 38.659 -22.178 -3.675 -3.412 -22.442
35.430 35.517 35.387 39.008 -24.343 -4.974 -4.982 -24.335
35.605 35.517 35.387 39.226 -26.398 -6.375 -6.348 -26.424
35.692 35.474 35.387 39.314 -28.495 -7.855 -7.876 -28.474
35.779 35.474 35.561 39.444 -28.897 -7.899 -7.762 -29.033
35.954 35.430 35.866 39.444 -28.973 -7.878 -7.889 -28.961
35.910 35.387 35.997 39.314 -28.979 -7.861 -7.835 -29.005
35.779 35.430 36.216 38.964 -28.985 -8.239 -8.443 -28.780
35.561 35.474 36.565 37.568 -28.884 -8.637 -8.800 -28.721
34.427 35.387 36.914 34.732 -28.781 -9.091 -9.289 -28.583
32.114 35.256 37.175 30.980 -28.658 -9.218 -9.199 -28.677
28.842 35.125 37.350 26.573 -28.577 -9.257 -9.196 -28.638
24.653 34.994 37.394 21.380 -28.475 -8.834 -8.454 -28.856
20.028 34.907 36.826 16.232 -28.401 -8.647 -8.393 -28.655
15.533 34.776 35.736 11.868 -28.154 -9.052 -9.025 -28.180
11.301 34.907 34.688 8.203 -27.831 -8.804 -8.290 -28.345
7.810 34.907 33.467 4.974 -27.740 -6.518 -4.923 -29.335
5.018 35.168 32.769 2.269 -27.962 -4.526 -3.267 -29.221
1.789 34.688 32.812 -0.524 -28.162 -5.067 -5.000 -28.230
-1.178 34.514 32.681 -2.618 -27.724 -7.126 -7.552 -27.299
-3.403 34.470 32.332 -4.276 -27.025 -8.452 -8.331 -27.145
-4.974 34.907 32.201 -5.803 -26.346 -10.739 -11.323 -25.762
-6.894 35.430 31.329 -7.810 -25.469 -12.290 -12.236 -25.523
-7.898 36.739 30.631 -8.334 -24.593 -14.261 -14.661 -24.193
-8.508 38.092 30.194 -9.338 -23.635 -15.936 -16.000 -23.570
