x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.037 0.000 0.000 0.000 0.934 1.997 645.775 22.607 108.214
0.000 -0.000 0.038 0.000 0.000 0.037 0.969 1.936 642.155 11.783 83.778
0.001 -0.000 0.038 0.000 0.000 0.038 1.003 2.686 649.394 18.999 97.741
0.002 -0.001 0.040 0.001 0.000 0.038 1.035 2.241 643.965 -0.845 102.978
0.003 -0.001 0.042 0.003 0.000 0.040 1.066 1.997 624.057 0.959 111.705
0.006 -0.001 0.044 0.006 0.000 0.042 1.095 1.875 643.965 9.979 89.015
0.009 -0.001 0.044 0.011 0.000 0.044 1.121 2.625 642.155 18.999 104.723
0.014 -0.001 0.046 0.016 0.000 0.044 1.147 2.058 638.535 11.783 94.251
0.020 -0.001 0.047 0.023 0.000 0.046 1.171 2.241 638.535 11.783 94.251
0.027 -0.002 0.049 0.031 0.000 0.047 1.194 1.997 642.155 4.567 76.797
0.036 -0.002 0.049 0.041 0.000 0.049 1.215 2.808 649.394 15.391 83.778
0.045 -0.002 0.051 0.051 0.000 0.049 1.235 1.997 636.726 9.979 92.505
0.056 -0.002 0.053 0.063 0.000 0.051 1.254 1.813 642.155 4.567 90.760
0.067 -0.002 0.054 0.076 0.000 0.053 1.271 1.936 643.965 13.587 92.505
0.081 -0.002 0.054 0.091 0.000 0.054 1.286 2.808 642.155 11.783 101.232
0.095 -0.002 0.056 0.106 0.000 0.054 1.302 1.997 643.965 2.763 106.468
0.110 -0.002 0.058 0.123 0.000 0.056 1.314 1.936 638.535 11.783 94.251
0.127 -0.002 0.059 0.141 0.000 0.058 1.327 1.936 634.916 8.175 101.232
0.145 -0.003 0.059 0.161 0.000 0.059 1.339 2.869 636.726 -0.845 89.015
0.164 -0.003 0.062 0.181 0.000 0.059 1.351 2.546 636.726 -8.060 85.524
0.185 -0.002 0.064 0.202 0.000 0.062 1.361 2.363 636.726 -8.060 85.524
0.206 -0.003 0.065 0.223 0.000 0.064 1.371 1.997 629.486 -0.845 85.524
0.228 -0.003 0.065 0.244 0.000 0.065 1.379 2.625 643.965 2.763 95.996
0.249 -0.002 0.067 0.266 0.000 0.065 1.386 2.058 634.916 -2.649 90.760
0.271 -0.002 0.069 0.287 0.000 0.067 1.392 1.997 642.155 11.783 94.251
0.292 -0.002 0.071 0.308 0.000 0.069 1.397 2.119 643.965 6.371 99.487
0.314 -0.002 0.071 0.329 0.000 0.071 1.402 2.808 640.345 6.371 99.487
0.335 -0.002 0.073 0.351 0.000 0.071 1.406 1.997 653.014 4.567 94.251
0.356 -0.001 0.074 0.372 0.000 0.073 1.410 1.997 643.965 9.979 95.996
0.378 -0.001 0.076 0.393 0.000 0.074 1.413 2.058 645.775 8.175 101.232
0.400 -0.001 0.076 0.414 0.000 0.076 1.416 2.747 638.535 8.175 97.741
0.421 -0.001 0.078 0.436 0.000 0.076 1.418 2.180 633.106 9.979 99.487
0.443 -0.001 0.080 0.457 0.000 0.078 1.421 1.997 640.345 2.763 92.505
0.465 -0.000 0.081 0.478 0.000 0.080 1.421 1.997 638.535 18.999 108.214
0.487 -0.001 0.081 0.499 0.000 0.081 1.422 2.808 640.345 13.587 92.505
0.509 -0.000 0.083 0.521 0.000 0.081 1.425 1.997 653.014 4.567 97.741
0.531 0.000 0.085 0.542 0.000 0.083 1.425 1.997 642.155 15.391 94.251
0.553 0.000 0.087 0.563 0.000 0.085 1.429 1.936 640.345 -4.453 99.487
0.575 0.000 0.087 0.584 0.000 0.087 1.431 2.747 633.106 6.371 92.505
0.596 0.000 0.088 0.606 0.000 0.087 1.431 2.119 636.726 9.979 89.015
0.618 0.001 0.090 0.627 0.000 0.088 1.433 1.997 633.106 2.763 85.524
0.640 0.001 0.092 0.648 0.000 0.090 1.435 1.875 633.106 -0.845 99.487
0.662 0.000 0.092 0.669 0.000 0.092 1.435 2.747 638.535 15.391 94.251
0.684 0.001 0.094 0.689 0.000 0.092 1.435 2.058 651.204 6.371 75.051
0.705 0.001 0.095 0.709 0.000 0.094 1.437 1.875 656.633 -2.649 80.288
0.725 0.001 0.097 0.727 0.000 0.095 1.438 1.997 631.296 4.567 101.232
0.744 0.001 0.097 0.743 0.000 0.097 1.438 2.625 633.106 9.979 106.468
0.762 0.001 0.099 0.758 0.000 0.097 1.440 2.058 662.063 -4.453 89.015
0.777 0.002 0.101 0.772 0.000 0.099 1.440 1.997 638.535 11.783 97.741
0.791 0.001 0.102 0.783 0.000 0.101 1.442 1.936 643.965 -8.060 95.996
0.803 0.001 0.102 0.794 0.000 0.102 1.442 2.625 631.296 8.175 97.741
0.813 0.001 0.104 0.803 0.000 0.102 1.440 2.058 627.676 18.999 90.760
0.822 0.002 0.106 0.810 0.000 0.104 1.442 2.119 645.775 -6.256 83.778
0.830 0.001 0.108 0.815 0.000 0.106 1.441 1.936 634.916 11.783 97.741
0.836 0.001 0.108 0.819 0.000 0.108 1.441 2.808 654.824 2.763 89.015
0.840 0.002 0.109 0.822 0.000 0.108 1.442 1.936 654.824 2.763 89.015
0.843 0.002 0.111 0.823 0.000 0.109 1.442 2.058 636.726 9.979 89.015
0.845 0.001 0.113 0.822 0.000 0.111 1.440 1.997 649.394 15.391 97.741
0.845 0.001 0.113 0.820 0.000 0.113 1.441 2.747 647.584 -0.845 89.015
0.843 0.002 0.114 0.817 0.000 0.113 1.444 1.936 643.965 -8.060 92.505
0.840 0.002 0.116 0.812 0.000 0.114 1.441 2.058 649.394 22.607 104.723
0.836 0.001 0.118 0.807 0.000 0.116 1.442 1.997 643.965 -0.845 92.505
0.836 0.001 0.120 0.836 0.001 0.118 1.439 1.936 656.633 22.607 80.288
