index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.014,0.006
7,0.017,0.011
8,0.019,0.016
9,0.024,0.023
10,0.032,0.031
11,0.040,0.041
12,0.048,0.051
13,0.059,0.063
14,0.071,0.076
15,0.083,0.091
16,0.097,0.106
17,0.113,0.123
18,0.130,0.141
19,0.147,0.161
20,0.166,0.181
21,0.187,0.202
22,0.208,0.223
23,0.229,0.244
24,0.251,0.266
25,0.273,0.287
26,0.295,0.308
27,0.316,0.329
28,0.337,0.351
29,0.359,0.372
30,0.380,0.393
31,0.402,0.414
32,0.424,0.436
33,0.446,0.457
34,0.467,0.478
35,0.489,0.499
36,0.511,0.521
37,0.533,0.542
38,0.555,0.563
39,0.576,0.584
40,0.598,0.606
41,0.620,0.627
42,0.642,0.648
43,0.664,0.669
44,0.686,0.689
45,0.708,0.709
46,0.728,0.727
47,0.747,0.743
48,0.765,0.758
49,0.781,0.772
50,0.795,0.783
51,0.808,0.794
52,0.819,0.803
53,0.828,0.810
54,0.836,0.815
55,0.842,0.819
56,0.847,0.822
57,0.850,0.823
58,0.852,0.822
59,0.852,0.820
60,0.851,0.817
61,0.848,0.812
62,0.844,0.807
63,0.843,0.844
64,0.845,0.844
65,0.848,0.843
66,0.850,0.842
67,0.850,0.840
68,0.852,0.837
69,0.851,0.833
70,0.846,0.827
71,0.840,0.820
72,0.835,0.812
73,0.827,0.803
74,0.817,0.792
75,0.806,0.780
76,0.795,0.767
77,0.782,0.753
78,0.767,0.737
79,0.753,0.720
80,0.737,0.702
81,0.717,0.683
82,0.698,0.663
83,0.678,0.642
84,0.656,0.621
85,0.632,0.599
86,0.610,0.578
87,0.589,0.557
88,0.564,0.536
89,0.541,0.514
90,0.519,0.493
91,0.496,0.472
92,0.473,0.451
93,0.449,0.429
94,0.427,0.408
95,0.405,0.387
96,0.382,0.366
97,0.359,0.344
98,0.336,0.323
99,0.313,0.302
100,0.290,0.282
101,0.267,0.263
102,0.245,0.245
103,0.224,0.228
104,0.203,0.213
105,0.185,0.200
106,0.168,0.188
107,0.154,0.178
108,0.141,0.169
109,0.130,0.162
110,0.120,0.156
111,0.113,0.152
112,0.106,0.149
113,0.102,0.148
114,0.099,0.149
115,0.097,0.151
116,0.097,0.154
117,0.099,0.157
118,0.101,0.161
119,0.101,0.101
120,0.100,0.101
121,0.097,0.102
122,0.095,0.103
123,0.092,0.105
124,0.090,0.108
125,0.089,0.112
126,0.092,0.118
127,0.095,0.125
128,0.100,0.133
129,0.106,0.142
130,0.114,0.153
131,0.124,0.165
132,0.134,0.178
133,0.147,0.192
134,0.161,0.208
135,0.176,0.225
136,0.192,0.243
137,0.210,0.262
138,0.229,0.282
139,0.250,0.303
140,0.271,0.324
141,0.294,0.346
142,0.318,0.367
143,0.341,0.388
144,0.365,0.409
145,0.388,0.431
146,0.412,0.452
147,0.435,0.473
148,0.458,0.494
149,0.482,0.516
150,0.505,0.537
151,0.529,0.558
152,0.553,0.579
153,0.576,0.601
154,0.600,0.622
155,0.624,0.643
156,0.647,0.664
157,0.671,0.686
158,0.694,0.707
159,0.718,0.728
160,0.741,0.749
161,0.764,0.771
162,0.787,0.792
163,0.810,0.813
164,0.833,0.834
165,0.856,0.856
166,0.879,0.877
167,0.902,0.898
168,0.925,0.919
169,0.947,0.941
170,0.970,0.962
171,0.992,0.983
172,1.015,1.004
173,1.037,1.026
174,1.059,1.047
175,1.082,1.068
176,1.104,1.089
177,1.126,1.111
178,1.148,1.132
179,1.170,1.153
180,1.191,1.174
181,1.213,1.196
182,1.235,1.217
183,1.257,1.238
184,1.278,1.259
185,1.300,1.281
186,1.322,1.302
187,1.343,1.323
188,1.364,1.344
189,1.386,1.366
190,1.407,1.387
191,1.428,1.408
192,1.450,1.429
193,1.471,1.451
194,1.493,1.472
195,1.514,1.493
196,1.535,1.514
197,1.556,1.535
198,1.577,1.555
199,1.597,1.575
200,1.617,1.593
201,1.636,1.609
202,1.653,1.624
203,1.668,1.638
204,1.681,1.650
205,1.693,1.660
206,1.703,1.669
207,1.711,1.676
208,1.718,1.682
209,1.723,1.686
210,1.727,1.688
211,1.729,1.689
212,1.730,1.688
213,1.730,1.686
214,1.728,1.683
215,1.724,1.679
216,1.720,1.674
