index,x_est,x_ref
1,0.000,0.000
2,0.000,0.000
3,0.001,0.000
4,0.002,0.001
5,0.003,0.003
6,0.006,0.006
7,0.009,0.011
8,0.014,0.016
9,0.020,0.023
10,0.027,0.031
11,0.036,0.041
12,0.045,0.051
13,0.056,0.063
14,0.067,0.076
15,0.081,0.091
16,0.095,0.106
17,0.110,0.123
18,0.127,0.141
19,0.145,0.161
20,0.164,0.181
21,0.185,0.202
22,0.206,0.223
23,0.228,0.244
24,0.249,0.266
25,0.271,0.287
26,0.292,0.308
27,0.314,0.329
28,0.335,0.351
29,0.356,0.372
30,0.378,0.393
31,0.400,0.414
32,0.421,0.436
33,0.443,0.457
34,0.465,0.478
35,0.487,0.499
36,0.509,0.521
37,0.531,0.542
38,0.553,0.563
39,0.575,0.584
40,0.596,0.606
41,0.618,0.627
42,0.640,0.648
43,0.662,0.669
44,0.684,0.689
45,0.705,0.709
46,0.725,0.727
47,0.744,0.743
48,0.762,0.758
49,0.777,0.772
50,0.791,0.783
51,0.803,0.794
52,0.813,0.803
53,0.822,0.810
54,0.830,0.815
55,0.836,0.819
56,0.840,0.822
57,0.843,0.823
58,0.845,0.822
59,0.845,0.820
60,0.843,0.817
61,0.840,0.812
62,0.836,0.807
63,0.836,0.836
64,0.836,0.836
65,0.843,0.836
66,0.852,0.835
67,0.860,0.833
68,0.865,0.830
69,0.866,0.825
70,0.862,0.820
71,0.852,0.813
72,0.840,0.805
73,0.831,0.795
74,0.822,0.785
75,0.809,0.773
76,0.795,0.760
77,0.781,0.745
78,0.766,0.730
79,0.747,0.713
80,0.728,0.695
81,0.710,0.675
82,0.690,0.655
83,0.667,0.634
84,0.643,0.613
85,0.622,0.592
86,0.600,0.570
87,0.576,0.549
88,0.552,0.528
89,0.532,0.507
90,0.510,0.485
91,0.487,0.464
92,0.464,0.443
93,0.443,0.422
94,0.421,0.400
95,0.398,0.379
96,0.375,0.358
97,0.354,0.337
98,0.332,0.316
99,0.308,0.296
100,0.286,0.276
101,0.267,0.258
102,0.248,0.242
103,0.228,0.227
104,0.212,0.213
105,0.200,0.201
106,0.188,0.191
107,0.175,0.182
108,0.166,0.175
109,0.160,0.169
110,0.153,0.165
111,0.146,0.163
112,0.144,0.162
113,0.144,0.163
114,0.143,0.165
115,0.143,0.168
116,0.147,0.172
117,0.152,0.177
118,0.156,0.183
119,0.157,0.156
120,0.158,0.156
121,0.154,0.156
122,0.148,0.157
123,0.144,0.159
124,0.142,0.162
125,0.140,0.166
126,0.143,0.172
127,0.152,0.179
128,0.162,0.187
129,0.168,0.196
130,0.176,0.207
131,0.188,0.219
132,0.201,0.232
133,0.212,0.246
134,0.226,0.262
135,0.244,0.279
136,0.262,0.297
137,0.279,0.316
138,0.298,0.337
139,0.320,0.357
140,0.343,0.379
141,0.364,0.400
142,0.385,0.421
143,0.409,0.442
144,0.432,0.464
145,0.453,0.485
146,0.473,0.506
147,0.497,0.527
148,0.520,0.549
149,0.541,0.570
150,0.562,0.591
151,0.586,0.612
152,0.609,0.634
153,0.630,0.655
154,0.651,0.676
155,0.675,0.697
156,0.698,0.719
157,0.719,0.740
158,0.740,0.761
159,0.764,0.782
160,0.787,0.804
161,0.808,0.825
162,0.830,0.846
163,0.853,0.867
164,0.876,0.889
165,0.897,0.910
166,0.919,0.931
167,0.942,0.952
168,0.965,0.974
169,0.986,0.995
170,1.008,1.016
171,1.031,1.037
172,1.054,1.059
173,1.074,1.080
174,1.096,1.101
175,1.119,1.122
176,1.142,1.144
177,1.162,1.165
178,1.184,1.186
179,1.207,1.207
180,1.229,1.229
181,1.250,1.250
182,1.272,1.271
183,1.295,1.292
184,1.316,1.314
185,1.337,1.335
186,1.359,1.356
187,1.382,1.377
188,1.403,1.399
189,1.424,1.420
190,1.446,1.441
191,1.468,1.462
192,1.489,1.484
193,1.510,1.505
194,1.532,1.526
195,1.554,1.547
196,1.575,1.567
197,1.595,1.587
198,1.616,1.605
199,1.635,1.621
200,1.652,1.636
201,1.666,1.650
202,1.680,1.662
203,1.692,1.672
204,1.702,1.681
205,1.710,1.688
206,1.718,1.693
207,1.724,1.697
208,1.727,1.700
209,1.730,1.701
210,1.731,1.700
211,1.731,1.699
212,1.728,1.696
213,1.725,1.692
214,1.722,1.689
