index,x_est,x_ref
1,0.000,0.000
2,0.001,0.000
3,0.003,0.000
4,0.004,0.001
5,0.007,0.006
6,0.008,0.011
7,0.010,0.016
8,0.014,0.023
9,0.026,0.041
10,0.033,0.051
11,0.043,0.063
12,0.053,0.075
13,0.076,0.100
14,0.088,0.113
15,0.101,0.125
16,0.113,0.138
17,0.137,0.163
18,0.149,0.175
19,0.162,0.188
20,0.174,0.200
21,0.200,0.225
22,0.213,0.238
23,0.226,0.250
24,0.238,0.263
25,0.264,0.287
26,0.277,0.300
27,0.290,0.312
28,0.303,0.325
29,0.329,0.350
30,0.342,0.362
31,0.355,0.375
32,0.368,0.387
33,0.394,0.412
34,0.408,0.425
35,0.421,0.437
36,0.434,0.450
37,0.461,0.475
38,0.474,0.487
39,0.487,0.500
40,0.500,0.512
41,0.526,0.537
42,0.539,0.550
43,0.552,0.562
44,0.565,0.575
45,0.592,0.600
46,0.605,0.612
47,0.618,0.625
48,0.631,0.637
49,0.658,0.662
50,0.671,0.675
51,0.684,0.687
52,0.698,0.700
53,0.724,0.725
54,0.737,0.737
55,0.750,0.750
56,0.763,0.762
57,0.790,0.787
58,0.803,0.800
59,0.816,0.812
60,0.829,0.825
61,0.856,0.850
62,0.869,0.862
63,0.882,0.875
64,0.895,0.887
65,0.921,0.912
66,0.934,0.925
67,0.947,0.937
68,0.960,0.949
69,0.983,0.969
70,0.994,0.977
71,1.003,0.984
72,1.011,0.989
73,1.022,0.997
74,1.026,0.999
75,1.029,1.000
76,1.031,1.000
77,1.032,1.032
78,1.033,1.032
79,1.033,1.032
80,1.034,1.031
81,1.035,1.026
82,1.035,1.021
83,1.032,1.016
84,1.028,1.009
85,1.016,0.991
86,1.007,0.981
87,0.998,0.969
88,0.988,0.957
89,0.965,0.932
90,0.953,0.920
91,0.942,0.907
92,0.930,0.895
93,0.906,0.870
94,0.894,0.857
95,0.881,0.845
96,0.869,0.832
97,0.844,0.807
98,0.831,0.795
99,0.818,0.782
100,0.806,0.770
101,0.780,0.745
102,0.767,0.732
103,0.754,0.720
104,0.741,0.707
105,0.716,0.682
106,0.703,0.670
107,0.690,0.657
108,0.677,0.645
109,0.650,0.620
110,0.637,0.607
111,0.624,0.595
112,0.611,0.582
113,0.584,0.557
114,0.571,0.545
115,0.558,0.532
116,0.544,0.520
117,0.518,0.495
118,0.505,0.482
119,0.492,0.470
120,0.479,0.457
121,0.452,0.432
122,0.439,0.420
123,0.426,0.407
124,0.412,0.395
125,0.386,0.370
126,0.372,0.357
127,0.359,0.345
128,0.345,0.332
129,0.319,0.307
130,0.305,0.295
131,0.292,0.282
132,0.279,0.270
133,0.252,0.245
134,0.239,0.232
135,0.226,0.220
136,0.213,0.207
137,0.187,0.182
138,0.173,0.170
139,0.160,0.157
140,0.147,0.145
141,0.121,0.120
142,0.107,0.107
143,0.094,0.095
144,0.081,0.082
145,0.055,0.058
146,0.041,0.046
147,0.029,0.036
148,0.017,0.026
149,-0.003,0.011
150,-0.011,0.006
151,-0.018,0.001
152,-0.023,-0.002
153,-0.030,-0.005
154,-0.032,-0.005
155,-0.034,-0.005
156,-0.034,-0.034
157,-0.035,-0.033
158,-0.036,-0.032
159,-0.037,-0.030
160,-0.037,-0.027
161,-0.034,-0.017
162,-0.030,-0.010
163,-0.025,-0.002
164,-0.019,0.007
165,-0.002,0.029
166,0.009,0.041
167,0.020,0.054
168,0.031,0.066
169,0.055,0.091
170,0.067,0.104
171,0.079,0.116
172,0.090,0.129
173,0.114,0.154
174,0.126,0.166
175,0.139,0.179
176,0.151,0.191
177,0.176,0.216
178,0.189,0.229
179,0.202,0.241
180,0.214,0.254
181,0.240,0.279
182,0.253,0.291
183,0.266,0.304
184,0.279,0.316
185,0.305,0.341
186,0.318,0.354
187,0.331,0.366
188,0.344,0.379
189,0.370,0.404
190,0.383,0.416
191,0.396,0.429
192,0.409,0.441
193,0.435,0.466
194,0.448,0.479
195,0.462,0.491
196,0.475,0.504
197,0.501,0.529
198,0.514,0.541
199,0.528,0.554
200,0.541,0.566
201,0.567,0.591
202,0.581,0.604
203,0.594,0.616
204,0.607,0.629
205,0.634,0.654
206,0.647,0.666
207,0.660,0.679
208,0.673,0.691
209,0.700,0.716
210,0.713,0.729
211,0.727,0.741
212,0.740,0.754
213,0.767,0.779
214,0.780,0.791
215,0.794,0.804
216,0.807,0.816
217,0.834,0.841
218,0.847,0.854
219,0.860,0.866
220,0.874,0.879
221,0.900,0.904
222,0.913,0.916
223,0.927,0.929
224,0.940,0.941
225,0.967,0.966
226,0.980,0.979
227,0.993,0.991
228,1.006,1.004
229,1.033,1.029
230,1.046,1.041
231,1.059,1.054
232,1.073,1.066
233,1.099,1.091
234,1.112,1.104
235,1.125,1.116
236,1.138,1.129
237,1.165,1.154
238,1.178,1.166
239,1.191,1.179
240,1.204,1.191
241,1.230,1.216
242,1.242,1.229
243,1.255,1.241
244,1.268,1.254
245,1.294,1.279
246,1.307,1.291
247,1.320,1.304
248,1.332,1.316
249,1.358,1.341
250,1.371,1.354
251,1.384,1.366
252,1.397,1.379
253,1.422,1.404
254,1.435,1.416
255,1.448,1.429
256,1.461,1.441
257,1.486,1.466
258,1.499,1.479
259,1.512,1.491
260,1.524,1.504
261,1.550,1.529
262,1.562,1.541
263,1.575,1.554
264,1.587,1.566
265,1.612,1.591
266,1.625,1.604
267,1.638,1.616
268,1.650,1.629
269,1.675,1.654
270,1.687,1.666
271,1.700,1.679
272,1.713,1.691
273,1.737,1.716
274,1.750,1.729
275,1.762,1.741
276,1.775,1.754
277,1.800,1.779
278,1.812,1.791
279,1.824,1.804
280,1.837,1.816
281,1.862,1.841
282,1.874,1.854
283,1.886,1.866
284,1.898,1.879
285,1.923,1.904
286,1.935,1.916
287,1.947,1.929
288,1.959,1.941
289,1.983,1.963
290,1.994,1.972
291,2.004,1.980
292,2.013,1.987
293,2.026,1.997
294,2.030,2.000
295,2.034,2.002
296,2.036,2.003
297,2.038,2.004
