x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.036 0.000 0.000 0.000 0.899 2.808 890.099 269.748 12.218
0.001 -0.002 0.038 0.000 0.000 0.036 0.921 2.241 884.669 264.336 27.926
0.002 -0.005 0.040 0.000 0.000 0.038 0.948 2.302 891.909 260.729 20.945
0.002 -0.005 0.042 0.001 0.000 0.040 0.972 1.936 881.050 271.552 31.417
0.001 -0.004 0.042 0.003 0.000 0.042 0.990 2.808 888.289 264.336 38.398
-0.002 -0.001 0.044 0.005 0.000 0.042 1.010 2.119 886.479 273.356 26.181
-0.005 0.004 0.045 0.008 0.000 0.044 1.028 2.058 872.001 276.964 36.653
-0.009 0.012 0.047 0.011 0.000 0.045 1.045 2.302 884.669 267.944 45.380
-0.012 0.019 0.047 0.015 0.000 0.047 1.060 2.808 881.050 271.552 38.398
-0.012 0.022 0.049 0.020 0.000 0.047 1.076 1.936 890.099 255.317 54.107
-0.010 0.026 0.051 0.025 0.000 0.049 1.090 2.180 872.001 244.493 26.181
-0.007 0.029 0.053 0.031 0.000 0.051 1.100 2.058 888.289 267.944 24.435
-0.004 0.031 0.053 0.038 0.000 0.053 1.111 2.563 886.479 251.709 33.162
0.002 0.032 0.055 0.045 0.000 0.053 1.119 2.180 882.860 266.140 40.144
0.009 0.033 0.056 0.053 0.000 0.055 1.127 1.997 882.860 258.925 33.162
0.016 0.034 0.058 0.061 0.000 0.056 1.131 2.180 882.860 276.964 40.144
0.024 0.034 0.058 0.070 0.000 0.058 1.138 2.747 870.191 253.513 38.398
0.034 0.034 0.060 0.080 0.000 0.058 1.145 2.180 884.669 239.081 45.380
0.044 0.034 0.062 0.090 0.000 0.060 1.152 1.997 884.669 239.081 45.380
0.055 0.033 0.064 0.101 0.000 0.062 1.155 2.119 891.909 260.729 45.380
0.066 0.032 0.064 0.113 0.000 0.064 1.158 2.869 873.811 257.121 48.871
0.079 0.031 0.066 0.125 0.000 0.064 1.160 2.058 875.620 258.925 40.144
0.093 0.030 0.067 0.138 0.000 0.066 1.161 2.058 864.762 258.925 26.181
0.107 0.029 0.069 0.150 0.000 0.067 1.163 2.119 882.860 258.925 36.653
0.122 0.028 0.069 0.163 0.000 0.069 1.162 2.808 882.860 273.356 40.144
0.137 0.027 0.071 0.175 0.000 0.069 1.164 2.058 882.860 255.317 43.635
0.151 0.025 0.073 0.188 0.000 0.071 1.166 2.180 872.001 251.709 33.162
0.166 0.024 0.075 0.200 0.000 0.073 1.168 1.997 886.479 251.709 26.181
0.180 0.023 0.075 0.213 0.000 0.075 1.170 2.747 890.099 255.317 50.616
0.195 0.021 0.077 0.225 0.000 0.075 1.172 2.119 881.050 242.689 41.889
0.209 0.020 0.078 0.238 0.000 0.077 1.175 1.997 881.050 242.689 41.889
0.224 0.019 0.080 0.250 0.000 0.078 1.175 2.241 888.289 257.121 45.380
0.238 0.017 0.080 0.263 0.000 0.080 1.175 2.747 879.240 255.317 43.635
0.252 0.016 0.082 0.275 0.000 0.080 1.176 2.180 877.430 253.513 45.380
0.267 0.014 0.084 0.287 0.000 0.082 1.176 2.058 875.620 248.101 40.144
