x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.036 0.000 0.000 0.000 0.892 2.119 926.295 309.435 12.218
0.001 -0.000 0.036 -0.000 -0.000 0.036 0.918 4.639 915.436 313.043 1.745
0.002 -0.000 0.033 -0.000 -0.000 0.036 0.939 -3.619 915.436 313.043 1.745
0.002 -0.000 0.034 -0.001 -0.000 0.033 0.960 1.508 897.338 320.259 26.181
0.002 -0.000 0.031 -0.003 -0.000 0.034 0.985 -3.252 910.007 325.671 24.435
0.002 -0.000 0.031 -0.006 -0.000 0.031 1.006 -2.136 911.817 327.475 8.727
-0.001 -0.001 0.039 -0.011 -0.000 0.031 1.010 9.199 917.246 314.847 6.982
-0.006 -0.001 0.040 -0.016 -0.000 0.039 1.016 0.898 904.577 316.651 26.181
-0.013 -0.001 0.039 -0.023 -0.000 0.040 1.032 -0.872 915.436 316.651 12.218
-0.022 -0.001 0.039 -0.031 -0.000 0.039 1.040 5.737 913.626 322.063 13.963
-0.034 -0.001 0.043 -0.041 -0.000 0.039 1.048 4.560 926.295 313.043 8.727
-0.046 -0.000 0.038 -0.051 -0.000 0.043 1.066 -5.450 917.246 307.631 3.491
-0.058 -0.000 0.039 -0.063 -0.000 0.038 1.074 1.081 910.007 311.239 10.472
-0.071 -0.000 0.039 -0.076 -0.000 0.039 1.081 5.127 913.626 300.416 -3.491
-0.084 -0.000 0.033 -0.091 -0.000 0.039 1.096 -7.159 913.626 300.416 -3.491
-0.098 0.000 0.030 -0.106 -0.000 0.033 1.103 -3.741 935.344 314.847 20.945
-0.114 0.000 0.030 -0.123 -0.000 0.030 1.112 -0.384 922.676 298.612 8.727
-0.132 0.001 0.030 -0.141 -0.000 0.030 1.111 1.160 915.436 309.435 5.236
-0.152 0.001 0.027 -0.161 -0.000 0.030 1.119 -3.069 922.676 320.259 8.727
-0.174 0.001 0.030 -0.181 -0.000 0.027 1.117 3.828 920.866 311.239 10.472
-0.197 0.000 0.031 -0.202 -0.000 0.030 1.116 1.325 920.866 311.239 17.454
-0.221 0.000 0.031 -0.223 -0.000 0.031 1.121 -3.662 917.246 332.887 13.963
-0.244 -0.000 0.032 -0.244 -0.000 0.031 1.124 1.142 906.387 332.887 10.472
-0.267 -0.000 0.032 -0.266 -0.000 0.032 1.122 -0.445 911.817 331.083 19.199
-0.288 -0.000 0.036 -0.287 -0.000 0.032 1.116 4.438 917.246 336.495 -3.491
-0.309 -0.000 0.036 -0.308 -0.000 0.036 1.115 2.319 910.007 311.239 27.926
-0.328 -0.000 0.034 -0.329 -0.000 0.036 1.113 -2.215 910.007 311.239 27.926
-0.348 0.000 0.036 -0.351 -0.000 0.034 1.112 2.302 910.007 314.847 13.963
-0.368 0.000 0.039 -0.372 -0.000 0.036 1.108 3.400 913.626 304.023 13.963
-0.390 0.000 0.039 -0.393 -0.000 0.039 1.112 -1.709 911.817 320.259 15.708
-0.413 0.000 0.035 -0.414 -0.000 0.039 1.120 -4.961 911.817 327.475 19.199
-0.436 0.000 0.032 -0.436 -0.000 0.035 1.125 -2.764 900.958 316.651 8.727
-0.459 -0.000 0.034 -0.457 -0.000 0.032 1.128 1.752 900.958 309.435 29.672
-0.481 -0.000 0.034 -0.478 -0.000 0.034 1.128 1.465 908.197 327.475 15.708
-0.502 -0.000 0.037 -0.499 -0.000 0.034 1.125 3.950 899.148 318.455 13.963
-0.522 -0.000 0.040 -0.521 -0.000 0.037 1.128 3.706 900.958 320.259 26.181
-0.542 -0.000 0.043 -0.542 -0.000 0.040 1.125 2.485 906.387 318.455 41.889
-0.562 -0.000 0.043 -0.563 -0.000 0.043 1.122 5.188 902.768 311.239 41.889
-0.583 0.000 0.046 -0.584 -0.000 0.043 1.120 3.767 902.768 311.239 41.889
-0.605 0.000 0.050 -0.606 -0.000 0.046 1.120 4.377 900.958 305.827 26.181
-0.627 -0.000 0.050 -0.627 -0.000 0.050 1.119 0.715 891.909 300.416 38.398
-0.650 -0.000 0.050 -0.648 -0.000 0.050 1.120 -0.183 888.289 318.455 48.871
-0.672 -0.000 0.052 -0.669 -0.000 0.050 1.116 1.691 902.768 311.239 52.361
-0.693 -0.000 0.052 -0.689 -0.000 0.052 1.115 0.837 891.909 300.416 48.871
-0.714 -0.000 0.053 -0.709 -0.000 0.052 1.115 0.959 884.669 300.416 38.398
-0.733 -0.000 0.053 -0.727 -0.000 0.053 1.117 0.854 884.669 304.023 41.889
-0.750 -0.001 0.060 -0.743 -0.000 0.053 1.114 7.185 886.479 298.612 47.125
-0.766 -0.000 0.062 -0.758 -0.000 0.060 1.113 2.546 882.860 302.219 57.598
-0.780 -0.000 0.064 -0.772 -0.000 0.062 1.112 3.034 886.479 302.219 40.144
-0.792 -0.000 0.064 -0.783 -0.000 0.064 1.112 4.578 873.811 311.239 45.380
-0.802 -0.000 0.068 -0.794 -0.000 0.064 1.115 4.438 891.909 289.592 45.380
-0.811 -0.000 0.073 -0.803 -0.000 0.068 1.116 5.109 877.430 300.416 48.871
-0.818 -0.001 0.077 -0.810 -0.000 0.073 1.116 4.682 891.909 293.200 48.871
-0.824 -0.001 0.077 -0.815 -0.000 0.077 1.120 1.221 895.528 300.416 48.871
-0.828 -0.001 0.078 -0.819 -0.000 0.077 1.124 1.691 886.479 287.788 50.616
-0.831 -0.001 0.081 -0.822 -0.000 0.078 1.123 3.522 881.050 289.592 48.871
-0.832 -0.001 0.083 -0.823 -0.000 0.081 1.124 1.813 886.479 309.435 50.616
-0.832 -0.001 0.083 -0.822 -0.000 0.083 1.122 7.812 890.099 295.004 64.579
-0.831 -0.001 0.085 -0.820 -0.000 0.083 1.121 2.119 875.620 298.612 43.635
-0.828 -0.001 0.087 -0.817 -0.000 0.085 1.122 2.973 884.669 307.631 55.852
-0.823 -0.000 0.092 -0.812 -0.000 0.087 1.115 5.292 886.479 316.651 47.125
-0.817 0.000 0.092 -0.807 -0.000 0.092 1.118 0.610 882.860 309.435 50.616
-0.817 0.000 0.092 -0.817 0.000 0.092 1.122 1.648 926.295 280.572 12.218
-0.819 -0.000 0.094 -0.817 0.000 0.092 1.123 2.607 953.442 267.944 13.963
-0.821 -0.000 0.092 -0.816 0.000 0.094 1.126 -2.398 926.295 269.748 26.181
-0.822 -0.000 0.099 -0.815 0.000 0.092 1.125 8.161 924.485 278.768 24.435
-0.823 -0.000 0.099 -0.814 0.000 0.099 1.129 2.258 942.583 285.984 38.398
-0.822 -0.000 0.096 -0.810 0.000 0.099 1.141 -3.497 938.964 271.552 31.417
-0.818 -0.000 0.106 -0.806 0.000 0.096 1.138 11.579 933.534 276.964 43.635
-0.811 0.000 0.109 -0.800 0.000 0.106 1.139 3.339 931.725 264.336 38.398
-0.803 0.000 0.109 -0.794 0.000 0.109 1.148 -6.165 938.964 264.336 27.926
-0.793 0.001 0.114 -0.785 0.000 0.109 1.150 5.292 935.344 267.944 31.417
-0.781 0.001 0.116 -0.776 0.000 0.114 1.149 2.119 929.915 280.572 36.653
-0.770 0.001 0.119 -0.765 0.000 0.116 1.151 3.828 929.915 280.572 36.653
-0.758 0.001 0.119 -0.754 0.000 0.119 1.155 -0.916 944.393 262.533 50.616
-0.746 0.002 0.120 -0.740 0.000 0.119 1.150 1.325 948.013 266.140 40.144
-0.733 0.002 0.123 -0.726 0.000 0.120 1.145 3.645 933.534 269.748 54.107
-0.719 0.002 0.125 -0.710 0.000 0.123 1.147 1.203 957.062 275.160 48.871
-0.702 0.001 0.125 -0.694 0.000 0.125 1.160 -7.874 946.203 257.121 66.325
-0.684 0.001 0.126 -0.675 0.000 0.125 1.161 2.180 929.915 244.493 54.107
-0.663 0.001 0.130 -0.656 0.000 0.126 1.157 4.377 920.866 260.729 73.306
-0.641 0.001 0.133 -0.636 0.000 0.130 1.163 3.278 928.105 246.297 80.288
-0.618 0.001 0.133 -0.615 0.000 0.133 1.162 1.343 949.823 249.905 73.306
-0.596 0.001 0.134 -0.594 0.000 0.133 1.161 0.654 935.344 260.729 76.797
-0.573 0.001 0.133 -0.572 0.000 0.134 1.166 -1.116 938.964 257.121 80.288
-0.551 0.001 0.132 -0.551 0.000 0.133 1.172 -0.689 938.964 257.121 80.288
-0.529 0.000 0.132 -0.530 0.000 0.132 1.176 -5.249 929.915 273.356 89.015
-0.509 -0.000 0.130 -0.509 0.000 0.132 1.178 -2.215 926.295 266.140 89.015
-0.488 -0.000 0.128 -0.487 0.000 0.130 1.178 -2.886 946.203 271.552 94.251
-0.467 -0.000 0.127 -0.466 0.000 0.128 1.182 -0.506 919.056 273.356 92.505
-0.446 -0.000 0.127 -0.445 0.000 0.127 1.184 -1.526 938.964 267.944 104.723
-0.425 0.000 0.137 -0.424 0.000 0.127 1.181 11.518 920.866 278.768 87.269
-0.403 0.001 0.140 -0.402 0.000 0.137 1.183 3.461 942.583 278.768 87.269
-0.381 0.001 0.138 -0.381 0.000 0.140 1.182 -2.581 933.534 284.180 99.487
-0.359 0.000 0.138 -0.360 0.000 0.138 1.183 -0.183 933.534 280.572 78.542
-0.337 0.000 0.143 -0.339 0.000 0.138 1.177 5.170 935.344 293.200 76.797
-0.316 -0.000 0.142 -0.317 0.000 0.143 1.176 -0.811 933.534 291.396 75.051
-0.295 -0.000 0.143 -0.296 0.000 0.142 1.178 1.386 931.725 311.239 83.778
-0.274 -0.001 0.143 -0.275 0.000 0.143 1.173 5.249 933.534 280.572 78.542
-0.253 -0.000 0.143 -0.254 0.000 0.143 1.175 -0.567 935.344 282.376 73.306
-0.232 0.000 0.151 -0.232 0.000 0.143 1.168 9.931 940.774 280.572 85.524
-0.210 0.001 0.155 -0.211 0.000 0.151 1.166 4.011 935.344 289.592 69.815
-0.189 0.001 0.155 -0.190 0.000 0.155 1.165 4.456 942.583 282.376 80.288
-0.167 0.001 0.163 -0.169 0.000 0.155 1.156 8.955 933.534 291.396 78.542
-0.146 0.001 0.167 -0.147 0.000 0.163 1.152 5.415 942.583 285.984 87.269
-0.125 0.001 0.169 -0.126 0.000 0.167 1.149 1.997 944.393 302.219 71.561
-0.103 0.000 0.169 -0.105 0.000 0.169 1.149 3.235 942.583 289.592 83.778
-0.082 -0.000 0.171 -0.084 0.000 0.169 1.148 2.119 942.583 289.592 73.306
-0.062 -0.000 0.171 -0.062 0.000 0.171 1.148 0.227 951.632 298.612 71.561
-0.041 -0.000 
