x_est,y_est,heading_est,x_ref,y_ref,heading_ref,magdwick,gyro,mag_x,mag_y,mag_z
0.000,0.000,0.037,0.000,0.000,0.000,0.901,1.936,879.240,255.317,26.181
0.001,-0.000,0.038,0.000,0.000,0.037,0.924,1.813,875.620,258.925,29.672
0.003,-0.001,0.040,0.000,0.000,0.038,0.950,2.058,857.522,251.709,40.144
0.004,-0.001,0.040,0.001,0.000,0.040,0.972,2.563,877.430,257.121,10.472
0.007,-0.002,0.044,0.006,0.000,0.042,1.017,1.875,864.762,237.277,54.107
0.008,-0.003,0.046,0.011,0.000,0.044,1.037,2.180,879.240,237.277,47.125
0.010,-0.002,0.046,0.016,0.000,0.046,1.057,2.869,891.909,239.081,38.398
0.014,-0.003,0.047,0.023,0.000,0.046,1.073,1.936,879.240,237.277,50.616
0.026,-0.003,0.051,0.041,0.000,0.049,1.102,1.936,893.719,244.493,36.653
0.033,-0.003,0.051,0.051,0.000,0.051,1.113,2.747,881.050,249.905,45.380
0.043,-0.003,0.053,0.063,0.000,0.051,1.123,2.058,888.289,246.297,20.945
0.053,-0.003,0.054,0.075,0.000,0.053,1.131,1.997,890.099,255.317,43.635
0.076,-0.003,0.056,0.100,0.000,0.056,1.144,2.808,879.240,269.748,29.672
0.088,-0.003,0.058,0.113,0.000,0.056,1.148,1.997,870.191,260.729,45.380
0.101,-0.004,0.060,0.125,0.000,0.058,1.155,2.058,882.860,233.669,54.107
0.113,-0.003,0.061,0.138,0.000,0.060,1.158,1.997,893.719,258.925,43.635
0.137,-0.004,0.063,0.163,0.000,0.061,1.166,1.997,881.050,246.297,34.908
0.149,-0.003,0.065,0.175,0.000,0.063,1.168,2.058,882.860,251.709,40.144
0.162,-0.003,0.067,0.188,0.000,0.065,1.170,1.997,890.099,255.317,43.635
0.174,-0.003,0.067,0.200,0.000,0.067,1.172,2.747,888.289,249.905,38.398
0.200,-0.002,0.070,0.225,0.000,0.068,1.174,2.058,881.050,249.905,34.908
0.213,-0.002,0.072,0.238,0.000,0.070,1.175,1.936,877.430,249.905,45.380
0.226,-0.002,0.072,0.250,0.000,0.072,1.175,2.747,890.099,258.925,40.144
0.238,-0.002,0.073,0.263,0.000,0.072,1.177,1.936,886.479,244.493,47.125
0.264,-0.001,0.077,0.287,0.000,0.075,1.178,1.936,882.860,237.277,43.635
0.277,-0.001,0.077,0.300,0.000,0.077,1.179,2.808,882.860,251.709,47.125
0.290,-0.001,0.079,0.312,0.000,0.077,1.179,1.997,891.909,253.513,48.871
0.303,-0.001,0.081,0.325,0.000,0.079,1.178,2.058,888.289,264.336,55.852
0.329,-0.001,0.082,0.350,0.000,0.082,1.177,2.686,888.289,253.513,45.380
0.342,-0.000,0.084,0.362,0.000,0.082,1.177,1.997,879.240,258.925,47.125
0.355,-0.000,0.086,0.375,0.000,0.084,1.175,2.058,870.191,260.729,45.380
0.368,0.000,0.088,0.387,0.000,0.086,1.175,1.936,881.050,257.121,48.871
0.394,0.001,0.089,0.412,0.000,0.088,1.177,2.058,891.909,257.121,41.889
0.408,0.001,0.091,0.425,0.000,0.089,1.177,2.119,872.001,251.709,36.653
0.421,0.001,0.093,0.437,0.000,0.091,1.177,2.058,877.430,249.905,52.361
0.434,0.001,0.093,0.450,0.000,0.093,1.177,2.747,877.430,257.121,55.852
0.461,0.001,0.097,0.475,0.000,0.095,1.180,1.997,864.762,240.885,36.653
0.474,0.001,0.098,0.487,0.000,0.097,1.184,1.936,879.240,226.453,50.616
0.487,0.001,0.098,0.500,0.000,0.098,1.181,2.808,873.811,260.729,59.343
0.500,0.001,0.100,0.512,0.000,0.098,1.180,1.936,884.669,260.729,41.889
0.526,0.002,0.103,0.537,0.000,0.102,1.182,1.936,891.909,246.297,45.380
0.539,0.002,0.103,0.550,0.000,0.103,1.184,2.625,877.430,235.473,48.871
0.552,0.002,0.105,0.562,0.000,0.103,1.183,1.936,875.620,255.317,36.653
0.565,0.002,0.107,0.575,0.000,0.105,1.181,1.997,873.811,257.121,52.361
0.592,0.002,0.109,0.600,0.000,0.109,1.181,2.808,884.669,253.513,41.889
0.605,0.002,0.110,0.612,0.000,0.109,1.181,1.997,881.050,253.513,52.361
0.618,0.003,0.112,0.625,0.000,0.110,1.178,1.997,893.719,269.748,36.653
0.631,0.003,0.114,0.637,0.000,0.112,1.176,1.997,893.719,269.748,36.653
0.658,0.003,0.116,0.662,0.000,0.114,1.178,1.997,884.669,249.905,31.417
0.671,0.003,0.117,0.675,0.000,0.116,1.179,1.997,881.050,249.905,45.380
0.684,0.003,0.119,0.687,0.000,0.117,1.178,1.936,886.479,258.925,33.162
0.698,0.003,0.119,0.700,0.000,0.119,1.177,2.808,873.811,257.121,34.908
0.724,0.003,0.122,0.725,0.000,0.121,1.178,1.997,881.050,249.905,31.417
0.737,0.003,0.124,0.737,0.000,0.122,1.179,1.936,873.811,246.297,48.871
0.750,0.003,0.124,0.750,0.000,0.124,1.179,2.747,890.099,258.925,40.144
0.763,0.003,0.126,0.762,0.000,0.124,1.178,2.119,875.620,255.317,29.672
0.790,0.003,0.129,0.787,0.000,0.128,1.179,1.936,881.050,242.689,38.398
0.803,0.003,0.129,0.800,0.000,0.129,1.179,2.747,879.240,251.709,29.672
0.816,0.003,0.131,0.812,0.000,0.129,1.178,1.997,872.001,255.317,47.125
0.829,0.003,0.133,0.825,0.000,0.131,1.179,2.058,884.669,249.905,55.852
0.856,0.004,0.135,0.850,0.000,0.135,1.181,2.686,881.050,242.689,45.380
0.869,0.003,0.137,0.862,0.000,0.135,1.180,2.119,875.620,255.317,36.653
0.882,0.004,0.138,0.875,0.000,0.137,1.181,1.997,882.860,244.493,29.672
0.895,0.004,0.140,0.887,0.000,0.138,1.181,1.997,884.669,249.905,48.871
0.921,0.004,0.142,0.912,0.000,0.140,1.180,2.058,897.338,258.925,26.181
0.934,0.004,0.144,0.925,0.000,0.142,1.179,2.119,875.620,255.317,36.653
0.947,0.004,0.145,0.937,0.000,0.144,1.180,1.936,886.479,251.709,43.635
0.960,0.003,0.145,0.949,0.000,0.145,1.180,2.808,875.620,251.709,43.635
0.983,0.003,0.149,0.969,0.000,0.147,1.180,1.997,879.240,255.317,36.653
0.994,0.003,0.151,0.977,0.000,0.149,1.180,2.058,877.430,253.513,41.889
1.003,0.003,0.151,0.984,0.000,0.151,1.181,2.747,879.240,244.493,36.653
1.011,0.003,0.152,0.989,0.000,0.151,1.181,1.997,881.050,249.905,31.417
1.022,0.003,0.156,0.997,0.000,0.154,1.183,1.997,875.620,240.885,36.653
1.026,0.003,0.156,0.999,0.000,0.156,1.182,2.808,875.620,251.709,36.653
1.029,0.003,0.158,1.000,0.000,0.156,1.183,1.997,882.860,248.101,40.144
1.031,0.003,0.159,1.000,0.000,0.158,1.184,1.997,875.620,240.885,26.181
1.032,0.003,0.163,1.032,0.003,0.161,1.183,1.997,873.811,253.513,41.889
1.033,0.003,0.163,1.032,0.003,0.163,1.181,2.747,877.430,260.729,48.871
1.033,0.003,0.165,1.032,0.003,0.163,1.183,1.936,875.620,237.277,54.107
1.034,0.003,0.166,1.031,0.003,0.165,1.184,2.058,879.240,237.277,47.125
1.035,0.003,0.168,1.026,0.003,0.168,1.182,2.808,877.430,257.121,59.343
1.035,0.003,0.168,1.021,0.003,0.168,1.180,2.625,866.571,253.513,31.417
1.032,0.002,0.170,1.016,0.003,0.168,1.182,2.119,882.860,240.885,26.181
1.028,0.002,0.172,1.009,0.003,0.170,1.182,1.997,882.860,251.709,33.162
1.016,0.002,0.172,0.991,0.003,0.172,1.178,2.869,884.669,257.121,48.871
1.007,0.002,0.174,0.981,0.003,0.172,1.178,1.997,884.669,257.121,48.871
0.998,0.003,0.175,0.969,0.003,0.174,1.178,2.058,872.001,248.101,36.653
0.988,0.003,0.175,0.957,0.003,0.175,1.178,2.747,873.811,249.905,27.926
0.965,0.003,0.179,0.932,0.003,0.177,1.176,2.058,881.050,264.336,41.889
0.953,0.003,0.180,0.920,0.003,0.179,1.177,1.936,875.620,251.709,36.653
0.942,0.003,0.180,0.907,0.003,0.180,1.177,2.930,895.528,253.513,45.380
0.930,0.003,0.182,0.895,0.003,0.180,1.178,1.936,879.240,248.101,50.616
0.906,0.003,0.186,0.870,0.003,0.184,1.181,1.997,879.240,251.709,47.125
0.894,0.002,0.186,0.857,0.003,0.186,1.181,2.686,879.240,248.101,33.162
0.881,0.002,0.186,0.845,0.003,0.186,1.178,2.808,873.811,264.336,45.380
0.869,0.002,0.187,0.832,0.003,0.186,1.176,1.997,873.811,264.336,45.380
0.844,0.002,0.189,0.807,0.003,0.189,1.176,2.808,893.719,248.101,40.144
0.831,0.002,0.189,0.795,0.002,0.189,1.176,2.808,884.669,257.121,34.908
0.818,0.002,0.191,0.782,0.002,0.189,1.175,1.997,875.620,258.925,43.635
0.806,0.002,0.193,0.770,0.002,0.191,1.178,1.936,870.191,239.081,48.871
0.780,0.002,0.193,0.745,0.002,0.193,1.179,2.747,866.571,242.689,34.908
0.767,0.002,0.194,0.732,0.002,0.193,1.179,2.058,882.860,255.317,19.199
0.754,0.001,0.196,0.720,0.002,0.194,1.177,1.997,877.430,260.729,45.380
0.741,0.002,0.196,0.707,0.002,0.196,1.175,2.808,886.479,269.748,47.125
0.716,0.002,0.198,0.682,0.002,0.196,1.178,2.058,870.191,242.689,24.435
0.703,0.002,0.200,0.670,0.002,0.198,1.177,1.936,888.289,264.336,45.380
0.690,0.002,0.200,0.657,0.002,0.200,1.177,2.869,870.191,246.297,34.908
0.677,0.002,0.200,0.645,0.002,0.200,1.180,2.747,886.479,240.885,33.162
0.650,0.001,0.203,0.620,0.002,0.202,1.181,1.997,879.240,251.709,36.653
0.637,0.001,0.203,0.607,0.002,0.203,1.181,2.869,873.811,246.297,52.361
0.624,0.001,0.203,0.595,0.002,0.203,1.181,2.686,872.001,248.101,50.616
0.611,0.001,0.205,0.582,0.002,0.203,1.181,1.997,888.289,257.121,38.398
0.584,0.001,0.207,0.557,0.002,0.207,1.180,2.686,877.430,253.513,52.361
0.571,0.001,0.207,0.545,0.002,0.207,1.179,2.747,877.430,260.729,41.889
0.558,0.000,0.209,0.532,0.002,0.207,1.178,1.936,881.050,257.121,52.361
0.544,0.000,0.210,0.520,0.002,0.209,1.178,1.997,890.099,255.317,50.616
0.518,0.000,0.212,0.495,0.002,0.210,1.178,1.936,881.050,253.513,34.908
0.505,0.000,0.214,0.482,0.001,0.212,1.180,2.119,886.479,244.493,43.635
0.492,0.001,0.216,0.470,0.001,0.214,1.179,1.936,884.669,257.121,34.908
0.479,0.001,0.216,0.457,0.001,0.216,1.178,2.808,879.240,258.925,43.635
0.452,0.001,0.217,0.432,0.001,0.216,1.178,2.058,875.620,255.317,33.162
0.439,0.001,0.219,0.420,0.001,0.217,1.177,1.936,882.860,258.925,33.162
0.426,0.001,0.219,0.407,0.001,0.219,1.179,2.930,890.099,240.885,47.125
0.412,0.001,0.219,0.395,0.001,0.219,1.179,2.686,875.620,251.709,29.672
0.386,0.000,0.223,0.370,0.001,0.221,1.179,1.936,877.430,242.689,52.361
0.372,0.000,0.223,0.357,0.001,0.223,1.179,2.869,891.909,257.121,52.361
0.359,0.000,0.224,0.345,0.001,0.223,1.180,1.997,872.001,244.493,29.672
0.345,-0.000,0.226,0.332,0.001,0.224,1.180,1.997,882.860,251.709,36.653
0.319,-0.001,0.228,0.307,0.001,0.228,1.180,2.747,864.762,251.709,43.635
0.305,-0.000,0.228,0.295,0.001,0.228,1.179,2.808,879.240,258.925,36.653
0.292,-0.001,0.230,0.282,0.001,0.228,1.178,2.058,882.860,258.925,47.125
0.279,-0.001,0.231,0.270,0.001,0.230,1.179,2.058,888.289,249.905,34.908
0.252,-0.000,0.231,0.245,0.001,0.231,1.178,2.625,879.240,255.317,36.653
0.239,-0.000,0.233,0.232,0.001,0.231,1.180,2.058,859.332,235.473,41.889
0.226,-0.000,0.235,0.220,0.001,0.233,1.181,2.119,875.620,244.493,43.635
0.213,-0.000,0.235,0.207,0.001,0.235,1.180,2.747,884.669,257.121,31.417
0.187,-0.000,0.237,0.182,0.001,0.235,1.180,1.997,873.811,246.297,41.889
0.173,-0.000,0.239,0.170,0.001,0.237,1.179,2.058,891.909,260.729,41.889
0.160,-0.000,0.239,0.157,0.000,0.239,1.178,2.808,879.240,262.533,40.144
0.147,-0.001,0.239,0.145,0.000,0.239,1.178,2.686,864.762,248.101,54.107
