x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.036 0.000 0.000 0.000 0.902 1.936 872.001 248.101 33.162
0.001 -0.000 0.037 0.000 0.000 0.036 0.932 2.058 882.860 233.669 40.144
0.002 -0.001 0.039 0.000 0.000 0.037 0.959 1.752 882.860 251.709 40.144
0.002 -0.001 0.039 0.001 0.000 0.039 0.984 2.686 888.289 253.513 34.908
0.003 -0.002 0.041 0.003 0.000 0.039 1.007 1.936 877.430 249.905 48.871
0.006 -0.002 0.042 0.006 0.000 0.041 1.026 1.936 859.332 257.121 41.889
0.008 -0.002 0.044 0.011 0.000 0.042 1.046 1.936 884.669 253.513 52.361
0.012 -0.002 0.044 0.016 0.000 0.044 1.063 2.686 884.669 246.297 45.380
0.017 -0.002 0.046 0.023 0.000 0.044 1.079 1.936 881.050 246.297 45.380
0.025 -0.002 0.048 0.031 0.000 0.046 1.093 2.119 897.338 255.317 43.635
0.033 -0.002 0.049 0.041 0.000 0.048 1.104 1.875 884.669 253.513 24.435
0.042 -0.002 0.049 0.051 0.000 0.049 1.114 2.747 888.289 257.121 48.871
0.053 -0.002 0.051 0.063 0.000 0.049 1.124 1.936 877.430 246.297 41.889
0.065 -0.003 0.053 0.076 0.000 0.051 1.132 1.936 868.381 244.493 36.653
0.077 -0.002 0.054 0.091 0.000 0.053 1.139 1.997 877.430 249.905 38.398
0.092 -0.002 0.054 0.106 0.000 0.054 1.144 2.441 891.909 260.729 41.889
0.107 -0.003 0.056 0.123 0.000 0.054 1.148 2.119 882.860 258.925 36.653
0.124 -0.003 0.058 0.141 0.000 0.056 1.155 1.691 897.338 244.493 40.144
0.142 -0.002 0.059 0.161 0.000 0.058 1.159 2.058 881.050 249.905 38.398
0.162 -0.003 0.059 0.181 0.000 0.059 1.163 2.686 873.811 246.297 38.398
0.183 -0.002 0.061 0.203 0.000 0.059 1.166 2.058 881.050 249.905 45.380
0.205 -0.002 0.063 0.225 0.000 0.061 1.169 1.813 881.050 246.297 48.871
0.227 -0.002 0.065 0.248 0.000 0.063 1.171 1.997 888.289 249.905 24.435
0.251 -0.002 0.065 0.270 0.000 0.065 1.172 2.686 877.430 253.513 55.852
0.274 -0.002 0.066 0.293 0.000 0.065 1.174 1.936 902.768 253.513 41.889
0.297 -0.002 0.068 0.315 0.000 0.066 1.173 1.875 864.762 258.925 40.144
