x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.038 0.000 0.000 0.000 0.900 2.119 875.620 244.493 26.181
0.001 -0.000 0.040 0.000 0.000 0.038 0.928 1.936 872.001 262.533 36.653
0.002 -0.001 0.040 0.001 0.000 0.040 0.955 2.869 873.811 257.121 27.926
0.003 -0.001 0.042 0.002 0.000 0.040 0.978 2.119 890.099 255.317 33.162
0.004 -0.001 0.044 0.005 0.000 0.042 1.001 1.997 873.811 246.297 48.871
0.006 -0.002 0.045 0.009 0.000 0.044 1.023 2.119 873.811 239.081 52.361
0.009 -0.002 0.045 0.014 0.000 0.045 1.043 2.869 862.952 242.689 27.926
0.012 -0.002 0.047 0.020 0.000 0.045 1.060 2.180 891.909 253.513 45.380
0.017 -0.002 0.049 0.028 0.000 0.047 1.075 2.058 870.191 260.729 34.908
0.023 -0.002 0.051 0.036 0.000 0.049 1.090 2.058 893.719 244.493 26.181
0.031 -0.002 0.051 0.046 0.000 0.051 1.102 2.869 893.719 255.317 26.181
0.039 -0.002 0.053 0.056 0.000 0.051 1.113 2.119 890.099 248.101 40.144
0.049 -0.002 0.055 0.068 0.000 0.053 1.120 2.058 866.571 264.336 38.398
0.061 -0.002 0.056 0.079 0.000 0.055 1.127 2.180 882.860 258.925 40.144
0.073 -0.002 0.056 0.090 0.000 0.056 1.137 2.808 891.909 239.081 41.889
0.085 -0.002 0.058 0.101 0.000 0.056 1.142 2.180 881.050 257.121 45.380
0.098 -0.001 0.060 0.113 0.000 0.058 1.147 1.997 886.479 258.925 33.162
0.110 -0.001 0.062 0.124 0.000 0.060 1.151 2.058 886.479 258.925 33.162
0.122 -0.001 0.062 0.135 0.000 0.062 1.156 2.808 879.240 244.493 26.181
0.134 -0.000 0.064 0.146 0.000 0.062 1.160 2.119 888.289 249.905 41.889
0.146 -0.000 0.066 0.158 0.000 0.064 1.163 2.119 879.240 248.101 29.672
0.158 0.000 0.067 0.169 0.000 0.066 1.166 2.058 875.620 248.101 36.653
0.170 0.000 0.067 0.180 0.000 0.067 1.171 2.869 881.050 235.473 38.398
0.182 0.000 0.067 0.191 0.000 0.067 1.172 2.747 855.713 242.689 45.380
0.194 0.000 0.069 0.203 0.000 0.067 1.172 2.180 897.338 266.140 47.125
0.206 0.000 0.071 0.214 0.000 0.069 1.173 2.119 884.669 249.905 41.889
0.218 0.000 0.071 0.225 0.000 0.071 1.173 2.930 872.001 255.317 36.653
0.230 0.000 0.071 0.236 0.000 0.071 1.174 2.808 881.050 253.513 45.380
0.241 0.000 0.073 0.248 0.000 0.071 1.173 2.058 875.620 258.925 29.672
0.253 0.000 0.075 0.259 0.000 0.073 1.173 2.058 875.620 258.925 29.672
0.265 0.000 0.075 0.270 0.000 0.075 1.174 2.930 882.860 251.709 47.125
0.277 0.000 0.077 0.281 0.000 0.075 1.173 2.119 890.099 262.533 43.635
0.288 0.000 0.078 0.293 0.000 0.077 1.173 2.119 891.909 260.729 24.435
0.300 0.000 0.080 0.304 0.000 0.078 1.175 2.058 881.050 249.905 34.908
0.312 0.000 0.080 0.315 0.000 0.080 1.175 2.930 877.430 249.905 45.380
0.324 0.000 0.080 0.326 0.000 0.080 1.177 2.869 891.909 246.297 31.417
0.335 0.001 0.082 0.337 0.000 0.080 1.177 2.058 877.430 253.513 38.398
0.347 0.001 0.084 0.349 0.000 0.082 1.176 2.119 882.860 262.533 40.144
0.359 0.001 0.084 0.360 0.000 0.084 1.175 2.808 864.762 255.317 43.635
0.370 0.001 0.084 0.371 0.000 0.084 1.175 2.869 882.860 255.317 36.653
0.382 0.001 0.086 0.382 0.000 0.084 1.178 2.119 882.860 240.885 43.635
0.394 0.001 0.088 0.394 0.000 0.086 1.180 2.058 882.860 240.885 43.635
0.405 0.001 0.088 0.405 0.000 0.088 1.180 2.991 891.909 249.905 41.889
0.417 0.001 0.089 0.416 0.000 0.088 1.181 2.058 888.289 246.297 48.871
0.428 0.001 0.091 0.427 0.000 0.089 1.181 2.180 882.860 251.709 33.162
0.440 0.001 0.093 0.439 0.000 0.091 1.181 2.058 881.050 253.513 38.398
0.451 0.001 0.093 0.450 0.000 0.093 1.182 2.808 891.909 249.905 41.889
0.462 0.001 0.093 0.461 0.000 0.093 1.180 2.808 879.240 258.925 43.635
0.474 0.000 0.095 0.472 0.000 0.093 1.179 2.058 870.191 257.121 38.398
0.485 0.000 0.097 0.484 0.000 0.095 1.179 2.058 873.811 246.297 34.908
0.496 0.000 0.097 0.495 0.000 0.097 1.180 2.808 886.479 251.709 19.199
0.508 0.000 0.097 0.506 0.000 0.097 1.178 2.930 879.240 262.533 36.653
0.519 0.001 0.098 0.517 0.000 0.097 1.176 2.119 882.860 262.533 40.144
