index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.013,0.006
7,0.015,0.011
8,0.016,0.016
9,0.019,0.023
10,0.026,0.031
11,0.032,0.041
12,0.039,0.051
13,0.049,0.063
14,0.060,0.076
15,0.072,0.091
16,0.085,0.106
17,0.100,0.123
18,0.116,0.141
19,0.132,0.161
20,0.151,0.181
21,0.171,0.202
22,0.192,0.223
23,0.213,0.244
24,0.236,0.266
25,0.258,0.287
26,0.281,0.308
27,0.303,0.329
28,0.326,0.351
29,0.348,0.372
30,0.371,0.393
31,0.393,0.414
32,0.416,0.436
33,0.439,0.457
34,0.461,0.478
35,0.484,0.499
36,0.507,0.521
37,0.529,0.542
38,0.552,0.563
39,0.575,0.584
40,0.598,0.606
41,0.620,0.627
42,0.643,0.648
43,0.665,0.669
44,0.688,0.689
45,0.710,0.709
46,0.732,0.727
47,0.753,0.743
48,0.773,0.758
49,0.792,0.772
50,0.808,0.783
51,0.822,0.794
52,0.835,0.803
53,0.846,0.810
54,0.855,0.815
55,0.862,0.819
56,0.868,0.822
57,0.871,0.823
58,0.874,0.822
59,0.874,0.820
60,0.873,0.817
61,0.870,0.812
62,0.866,0.807
63,0.867,0.866
64,0.870,0.866
65,0.872,0.865
66,0.873,0.864
67,0.875,0.863
68,0.875,0.859
69,0.872,0.855
70,0.868,0.849
71,0.864,0.843
72,0.857,0.834
73,0.848,0.825
74,0.839,0.814
75,0.829,0.803
76,0.817,0.789
77,0.803,0.775
78,0.789,0.759
79,0.773,0.743
80,0.755,0.724
81,0.736,0.705
82,0.717,0.685
83,0.696,0.664
84,0.674,0.643
85,0.651,0.622
86,0.629,0.600
87,0.606,0.579
88,0.583,0.558
89,0.561,0.537
90,0.538,0.515
91,0.516,0.494
92,0.493,0.473
93,0.470,0.452
94,0.447,0.430
95,0.424,0.409
96,0.401,0.388
97,0.378,0.367
98,0.355,0.345
99,0.332,0.324
100,0.309,0.303
101,0.287,0.283
102,0.265,0.264
103,0.243,0.245
104,0.223,0.229
105,0.205,0.213
106,0.187,0.199
107,0.172,0.185
108,0.157,0.174
109,0.144,0.163
110,0.132,0.154
111,0.122,0.145
112,0.113,0.139
113,0.105,0.133
114,0.098,0.129
115,0.092,0.125
116,0.089,0.123
117,0.086,0.122
118,0.084,0.120
119,0.083,0.119
120,0.083,0.083
121,0.082,0.083
122,0.081,0.083
123,0.080,0.084
124,0.079,0.086
125,0.079,0.089
126,0.079,0.094
127,0.081,0.099
128,0.086,0.106
129,0.091,0.114
130,0.098,0.124
131,0.107,0.134
132,0.117,0.146
133,0.128,0.159
134,0.141,0.174
135,0.155,0.189
136,0.170,0.206
137,0.187,0.224
138,0.205,0.244
139,0.224,0.264
140,0.245,0.285
141,0.267,0.306
142,0.289,0.327
143,0.312,0.348
144,0.334,0.370
145,0.356,0.391
146,0.379,0.412
147,0.401,0.433
148,0.423,0.455
149,0.445,0.476
150,0.468,0.497
151,0.491,0.518
152,0.513,0.540
153,0.536,0.561
154,0.558,0.582
155,0.581,0.603
156,0.604,0.625
157,0.627,0.646
158,0.649,0.667
159,0.672,0.688
160,0.695,0.710
161,0.718,0.731
162,0.740,0.752
163,0.763,0.773
164,0.786,0.795
165,0.808,0.816
166,0.831,0.837
167,0.854,0.858
168,0.876,0.880
169,0.899,0.901
170,0.921,0.922
171,0.943,0.943
172,0.966,0.965
173,0.988,0.986
174,1.010,1.007
175,1.033,1.028
176,1.055,1.050
177,1.077,1.071
178,1.099,1.092
179,1.121,1.113
180,1.142,1.135
181,1.164,1.156
182,1.186,1.177
183,1.208,1.198
184,1.230,1.220
185,1.251,1.241
186,1.273,1.262
187,1.295,1.283
188,1.316,1.305
189,1.338,1.326
190,1.360,1.347
191,1.381,1.368
192,1.402,1.390
193,1.424,1.411
194,1.445,1.432
195,1.467,1.453
196,1.488,1.475
197,1.509,1.496
198,1.531,1.517
199,1.552,1.538
200,1.573,1.558
201,1.594,1.578
202,1.614,1.596
203,1.633,1.613
204,1.650,1.628
205,1.666,1.643
206,1.680,1.656
207,1.693,1.668
208,1.705,1.678
209,1.716,1.688
210,1.725,1.696
211,1.733,1.703
212,1.740,1.708
213,1.746,1.713
214,1.750,1.716
215,1.753,1.718
216,1.755,1.720
217,1.756,1.721
218,1.757,1.722
