index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.009,0.003
6,0.013,0.006
7,0.016,0.011
8,0.017,0.016
9,0.021,0.023
10,0.030,0.031
11,0.039,0.041
12,0.046,0.051
13,0.056,0.063
14,0.070,0.076
15,0.083,0.091
16,0.095,0.106
17,0.110,0.123
18,0.129,0.141
19,0.148,0.161
20,0.165,0.181
21,0.186,0.202
22,0.209,0.223
23,0.232,0.244
24,0.252,0.266
25,0.273,0.287
26,0.296,0.308
27,0.317,0.329
28,0.337,0.351
29,0.358,0.372
30,0.381,0.393
31,0.404,0.414
32,0.423,0.436
33,0.445,0.457
34,0.468,0.478
35,0.490,0.499
36,0.510,0.521
37,0.531,0.542
38,0.555,0.563
39,0.577,0.584
40,0.597,0.606
41,0.619,0.627
42,0.642,0.648
43,0.664,0.669
44,0.685,0.689
45,0.706,0.709
46,0.728,0.727
47,0.747,0.743
48,0.763,0.758
49,0.778,0.772
50,0.793,0.783
51,0.805,0.794
52,0.814,0.803
53,0.823,0.810
54,0.832,0.815
55,0.837,0.819
56,0.840,0.822
57,0.844,0.823
58,0.847,0.822
59,0.845,0.820
60,0.842,0.817
61,0.840,0.812
62,0.836,0.807
63,0.835,0.836
64,0.835,0.836
65,0.839,0.836
66,0.846,0.835
67,0.852,0.833
68,0.856,0.830
69,0.858,0.825
70,0.854,0.820
71,0.844,0.813
72,0.834,0.805
73,0.827,0.795
74,0.818,0.785
75,0.805,0.773
76,0.792,0.760
77,0.780,0.745
78,0.765,0.730
79,0.747,0.713
80,0.728,0.695
81,0.711,0.676
82,0.691,0.655
83,0.668,0.634
84,0.644,0.613
85,0.623,0.592
86,0.601,0.571
87,0.576,0.549
88,0.553,0.528
89,0.533,0.507
90,0.511,0.486
91,0.487,0.464
92,0.464,0.443
93,0.443,0.422
94,0.421,0.401
95,0.397,0.379
96,0.374,0.358
97,0.353,0.337
98,0.331,0.316
99,0.307,0.296
100,0.284,0.277
101,0.265,0.258
102,0.246,0.242
103,0.226,0.227
104,0.209,0.213
105,0.197,0.202
106,0.184,0.191
107,0.171,0.182
108,0.161,0.175
109,0.154,0.170
110,0.147,0.166
111,0.141,0.163
112,0.138,0.162
113,0.137,0.163
114,0.136,0.165
115,0.136,0.168
116,0.140,0.173
117,0.145,0.178
118,0.149,0.183
119,0.150,0.149
120,0.151,0.149
121,0.148,0.149
122,0.141,0.150
123,0.137,0.152
124,0.135,0.155
125,0.132,0.159
126,0.135,0.165
127,0.144,0.172
128,0.153,0.180
129,0.159,0.189
130,0.167,0.200
131,0.179,0.212
132,0.192,0.225
133,0.203,0.239
134,0.217,0.255
135,0.235,0.272
136,0.253,0.290
137,0.270,0.309
138,0.289,0.330
139,0.312,0.351
140,0.335,0.372
141,0.356,0.393
142,0.378,0.414
143,0.402,0.436
144,0.425,0.457
145,0.445,0.478
146,0.466,0.499
147,0.490,0.521
148,0.513,0.542
149,0.534,0.563
150,0.555,0.584
151,0.579,0.606
152,0.603,0.627
153,0.624,0.648
154,0.645,0.669
155,0.669,0.691
156,0.692,0.712
157,0.713,0.733
158,0.735,0.754
159,0.759,0.776
160,0.782,0.797
161,0.803,0.818
162,0.825,0.839
163,0.849,0.861
164,0.872,0.882
165,0.893,0.903
166,0.915,0.924
167,0.939,0.946
168,0.962,0.967
169,0.983,0.988
170,1.004,1.009
171,1.028,1.031
172,1.051,1.052
173,1.072,1.073
174,1.093,1.094
175,1.117,1.116
176,1.139,1.137
177,1.160,1.158
178,1.182,1.179
179,1.205,1.201
180,1.227,1.222
181,1.248,1.243
182,1.270,1.264
183,1.293,1.286
184,1.315,1.307
185,1.335,1.328
186,1.357,1.349
187,1.380,1.371
188,1.402,1.392
189,1.422,1.413
190,1.444,1.434
191,1.467,1.456
192,1.488,1.477
193,1.509,1.498
194,1.530,1.519
195,1.553,1.540
196,1.573,1.560
197,1.594,1.580
198,1.614,1.598
199,1.633,1.614
200,1.650,1.629
201,1.664,1.643
202,1.678,1.655
203,1.690,1.665
204,1.699,1.674
205,1.707,1.681
206,1.715,1.687
207,1.721,1.691
208,1.724,1.693
209,1.726,1.694
210,1.727,1.693
211,1.727,1.691
212,1.724,1.688
213,1.720,1.684
214,1.715,1.679
215,1.710,1.673
