index,x_est,x_ref
1,0.000,0.000
2,0.002,0.000
3,0.006,0.000
4,0.008,0.001
5,0.010,0.003
6,0.014,0.006
7,0.017,0.011
8,0.019,0.016
9,0.024,0.023
10,0.032,0.031
11,0.039,0.041
12,0.047,0.051
13,0.058,0.063
14,0.071,0.076
15,0.083,0.091
16,0.096,0.106
17,0.112,0.123
18,0.129,0.141
19,0.147,0.161
20,0.166,0.181
21,0.186,0.202
22,0.207,0.223
23,0.229,0.244
24,0.251,0.266
25,0.273,0.287
26,0.294,0.308
27,0.315,0.329
28,0.337,0.351
29,0.359,0.372
30,0.380,0.393
31,0.402,0.414
32,0.424,0.436
33,0.446,0.457
34,0.468,0.478
35,0.490,0.499
36,0.512,0.521
37,0.534,0.542
38,0.556,0.563
39,0.577,0.584
40,0.599,0.606
41,0.621,0.627
42,0.643,0.648
43,0.665,0.669
44,0.687,0.689
45,0.708,0.709
46,0.729,0.727
47,0.748,0.743
48,0.766,0.758
49,0.782,0.772
50,0.796,0.783
51,0.808,0.794
52,0.819,0.803
53,0.828,0.810
54,0.836,0.815
55,0.843,0.819
56,0.847,0.822
57,0.850,0.823
58,0.852,0.822
59,0.853,0.820
60,0.851,0.817
61,0.848,0.812
62,0.844,0.807
63,0.844,0.844
64,0.846,0.844
65,0.850,0.844
66,0.852,0.843
67,0.853,0.841
68,0.854,0.838
69,0.853,0.833
70,0.847,0.828
71,0.842,0.821
72,0.836,0.813
73,0.828,0.803
74,0.817,0.793
75,0.807,0.781
76,0.795,0.768
77,0.781,0.753
78,0.766,0.738
79,0.750,0.721
80,0.733,0.703
81,0.714,0.683
82,0.694,0.663
83,0.673,0.642
84,0.651,0.621
85,0.628,0.600
86,0.605,0.579
87,0.583,0.557
88,0.560,0.536
89,0.538,0.515
90,0.516,0.494
91,0.493,0.472
92,0.470,0.451
93,0.448,0.430
94,0.425,0.409
95,0.402,0.387
96,0.380,0.366
97,0.357,0.345
98,0.334,0.324
99,0.312,0.303
100,0.289,0.283
101,0.267,0.263
102,0.246,0.245
103,0.226,0.229
104,0.207,0.214
105,0.191,0.200
106,0.176,0.188
107,0.163,0.178
108,0.151,0.169
109,0.142,0.162
110,0.134,0.156
111,0.127,0.152
112,0.122,0.150
113,0.118,0.149
114,0.116,0.149
115,0.115,0.151
116,0.116,0.154
117,0.118,0.157
118,0.121,0.161
119,0.121,0.121
120,0.118,0.121
121,0.114,0.121
122,0.112,0.122
123,0.111,0.124
124,0.109,0.127
125,0.110,0.131
126,0.115,0.137
127,0.120,0.144
128,0.125,0.152
129,0.134,0.161
130,0.144,0.172
131,0.154,0.184
132,0.165,0.197
133,0.179,0.211
134,0.194,0.227
135,0.210,0.244
136,0.227,0.262
137,0.246,0.281
138,0.266,0.302
139,0.286,0.323
140,0.308,0.344
141,0.331,0.365
142,0.353,0.386
143,0.375,0.408
144,0.398,0.429
145,0.420,0.450
146,0.442,0.471
147,0.464,0.493
148,0.487,0.514
149,0.509,0.535
150,0.532,0.556
151,0.555,0.578
152,0.577,0.599
153,0.600,0.620
154,0.623,0.641
155,0.645,0.663
156,0.668,0.684
157,0.691,0.705
158,0.713,0.726
159,0.736,0.748
160,0.758,0.769
161,0.781,0.790
162,0.803,0.811
163,0.826,0.833
164,0.848,0.854
165,0.870,0.875
166,0.892,0.896
167,0.915,0.918
168,0.937,0.939
169,0.959,0.960
170,0.981,0.981
171,1.003,1.003
172,1.026,1.024
173,1.048,1.045
174,1.069,1.066
175,1.091,1.088
176,1.113,1.109
177,1.135,1.130
178,1.157,1.151
179,1.179,1.173
180,1.200,1.194
181,1.222,1.215
182,1.244,1.236
183,1.266,1.258
184,1.287,1.279
185,1.309,1.300
186,1.330,1.321
187,1.352,1.343
188,1.373,1.364
189,1.395,1.385
190,1.416,1.406
191,1.438,1.428
192,1.459,1.449
193,1.480,1.470
194,1.502,1.491
195,1.523,1.512
196,1.544,1.533
197,1.566,1.554
198,1.587,1.573
199,1.608,1.591
200,1.627,1.608
201,1.645,1.623
202,1.662,1.636
203,1.677,1.648
204,1.688,1.658
205,1.698,1.667
206,1.709,1.674
207,1.716,1.680
208,1.719,1.684
209,1.723,1.686
210,1.728,1.687
211,1.729,1.687
212,1.728,1.684
213,1.728,1.681
214,1.727,1.677
215,1.722,1.672
216,1.716,1.667
