x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.000 0.000 0.037 0.000 0.000 0.000 0.697 1.997 656.633 621.519 59.343
0.002 0.000 0.038 0.000 0.000 0.037 0.692 1.875 622.247 630.539 64.579
0.006 0.000 0.040 0.000 0.000 0.038 0.702 1.813 647.584 605.284 68.070
0.008 -0.000 0.040 0.001 0.000 0.040 0.700 2.563 651.204 605.284 54.107
0.010 -0.000 0.042 0.003 0.000 0.040 0.706 1.997 651.204 605.284 54.107
0.014 -0.001 0.043 0.006 0.000 0.042 0.710 1.569 631.296 603.480 55.852
0.016 -0.001 0.045 0.011 0.000 0.043 0.708 1.936 640.345 623.323 64.579
0.017 -0.002 0.045 0.016 0.000 0.045 0.708 2.747 643.965 612.499 47.125
0.021 -0.002 0.047 0.023 0.000 0.045 0.708 2.058 647.584 630.539 57.598
0.028 -0.002 0.048 0.031 0.000 0.047 0.699 2.058 627.676 625.127 59.343
0.034 -0.002 0.050 0.041 0.000 0.048 0.696 2.058 643.965 630.539 57.598
0.042 -0.003 0.050 0.051 0.000 0.050 0.697 2.747 629.486 630.539 57.598
0.053 -0.003 0.052 0.063 0.000 0.050 0.700 2.119 629.486 616.107 68.070
0.064 -0.003 0.054 0.076 0.000 0.052 0.700 1.936 640.345 626.931 71.561
0.076 -0.003 0.055 0.091 0.000 0.054 0.706 1.997 634.916 610.695 66.325
0.090 -0.003 0.055 0.106 0.000 0.055 0.703 2.686 634.916 614.303 83.778
0.105 -0.003 0.057 0.123 0.000 0.055 0.707 1.997 634.916 614.303 83.778
0.121 -0.002 0.059 0.141 0.000 0.057 0.704 2.058 647.584 626.931 57.598
0.139 -0.002 0.061 0.161 0.000 0.059 0.707 1.936 642.155 617.911 76.797
0.158 -0.002 0.061 0.181 0.000 0.061 0.709 2.808 647.584 626.931 54.107
0.179 -0.002 0.062 0.202 0.000 0.061 0.700 2.058 624.057 625.127 66.325
0.200 -0.002 0.064 0.223 0.000 0.062 0.701 1.997 638.535 621.519 73.306
0.222 -0.001 0.066 0.244 0.000 0.064 0.696 2.119 624.057 628.735 69.815
0.244 -0.001 0.066 0.266 0.000 0.066 0.698 2.686 622.247 605.284 50.616
0.266 -0.001 0.068 0.287 0.000 0.066 0.706 1.997 640.345 608.891 68.070
0.288 -0.001 0.070 0.308 0.000 0.068 0.703 1.997 636.726 616.107 61.088
0.310 -0.000 0.071 0.329 0.000 0.070 0.707 1.997 643.965 630.539 68.070
0.333 -0.000 0.071 0.351 0.000 0.071 0.701 2.808 625.867 616.107 57.598
