x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.002 0.000 0.038 0.000 0.000 0.000 0.694 1.691 660.253 621.519 55.852
0.006 0.000 0.040 0.000 0.000 0.038 0.691 2.058 640.345 616.107 64.579
0.008 -0.000 0.040 0.000 0.000 0.040 0.695 2.747 638.535 617.911 48.871
0.008 -0.001 0.041 0.001 0.000 0.040 0.700 1.630 640.345 619.715 75.051
0.009 -0.001 0.043 0.003 0.000 0.041 0.700 2.180 631.296 610.695 73.306
0.008 -0.001 0.045 0.006 0.000 0.043 0.705 1.997 638.535 603.480 73.306
0.007 -0.002 0.045 0.011 0.000 0.045 0.714 2.930 658.443 612.499 61.088
0.009 -0.002 0.046 0.016 0.000 0.045 0.709 1.875 642.155 621.519 66.325
0.017 -0.001 0.048 0.023 0.000 0.046 0.703 1.875 642.155 621.519 66.325
0.027 -0.001 0.050 0.031 0.000 0.048 0.704 1.936 625.867 612.499 64.579
0.038 -0.001 0.050 0.041 0.000 0.050 0.697 2.869 636.726 626.931 71.561
0.049 -0.001 0.050 0.051 0.000 0.050 0.702 2.991 645.775 625.127 66.325
0.063 -0.001 0.051 0.063 0.000 0.050 0.697 1.936 640.345 626.931 54.107
0.075 -0.001 0.053 0.076 0.000 0.051 0.703 2.119 636.726 619.715 54.107
0.086 -0.001 0.053 0.091 0.000 0.053 0.704 2.869 647.584 619.715 71.561
0.099 -0.001 0.053 0.106 0.000 0.053 0.701 2.991 651.204 623.323 57.598
0.116 -0.001 0.055 0.123 0.000 0.053 0.700 2.058 634.916 628.735 66.325
0.135 -0.001 0.057 0.141 0.000 0.055 0.698 2.180 633.106 623.323 57.598
0.155 -0.001 0.057 0.161 0.000 0.057 0.697 2.930 638.535 632.343 66.325
0.176 -0.001 0.057 0.181 0.000 0.057 0.697 2.808 649.394 628.735 69.815
0.200 -0.000 0.059 0.202 0.000 0.057 0.696 1.997 649.394 628.735 69.815
0.223 -0.000 0.060 0.223 0.000 0.059 0.703 2.119 631.296 621.519 66.325
0.244 -0.000 0.060 0.244 0.000 0.060 0.704 2.930 624.057 614.303 66.325
0.264 -0.000 0.060 0.266 0.000 0.060 0.702 2.686 649.394 614.303 69.815
0.285 0.000 0.062 0.287 0.000 0.060 0.707 2.180 647.584 619.715 57.598
0.307 0.000 0.064 0.308 0.000 0.062 0.704 2.180 634.916 621.519 69.815
0.327 -0.000 0.064 0.329 0.000 0.064 0.700 2.625 633.106 612.499 68.070
0.347 -0.000 0.064 0.351 0.000 0.064 0.704 2.869 640.345 623.323 57.598
0.369 -0.000 0.066 0.372 0.000 0.064 0.699 1.936 634.916 621.519 48.871
0.392 0.000 0.068 0.393 0.000 0.066 0.703 2.180 627.676 610.695 73.306
0.414 -0.000 0.068 0.414 0.000 0.068 0.703 2.747 638.535 614.303 69.815
0.435 -0.000 0.070 0.436 0.000 0.068 0.707 2.119 642.155 610.695 66.325
0.456 0.000 0.071 0.457 0.000 0.070 0.698 1.997 636.726 634.147 68.070
0.478 0.001 0.073 0.478 0.000 0.071 0.700 1.997 640.345 626.931 57.598
0.499 0.000 0.073 0.499 0.000 0.073 0.706 2.808 647.584 612.499 64.579
0.519 -0.000 0.073 0.521 0.000 0.073 0.705 2.808 634.916 621.519 52.361
0.540 0.000 0.075 0.542 0.000 0.073 0.710 2.058 653.014 614.303 59.343
0.563 0.000 0.077 0.563 0.000 0.075 0.705 1.997 624.057 625.127 66.325
0.585 -0.000 0.077 0.584 0.000 0.077 0.705 2.747 634.916 617.911 59.343
0.605 -0.000 0.077 0.606 0.000 0.077 0.707 2.869 649.394 614.303 62.834
