index,x_est,x_ref
1,0.002,0.000
2,0.006,0.000
3,0.008,0.000
4,0.008,0.001
5,0.009,0.003
6,0.008,0.006
7,0.007,0.011
8,0.009,0.016
9,0.017,0.023
10,0.027,0.031
11,0.038,0.041
12,0.049,0.051
13,0.063,0.063
14,0.075,0.076
15,0.086,0.091
16,0.099,0.106
17,0.116,0.123
18,0.135,0.141
19,0.155,0.161
20,0.176,0.181
21,0.200,0.202
22,0.223,0.223
23,0.244,0.244
24,0.264,0.266
25,0.285,0.287
26,0.307,0.308
27,0.327,0.329
28,0.347,0.351
29,0.369,0.372
30,0.392,0.393
31,0.414,0.414
32,0.435,0.436
33,0.456,0.457
34,0.478,0.478
35,0.499,0.499
36,0.519,0.521
37,0.540,0.542
38,0.563,0.563
39,0.585,0.584
40,0.605,0.606
41,0.626,0.627
42,0.648,0.648
43,0.670,0.669
44,0.690,0.689
45,0.710,0.709
46,0.731,0.727
47,0.749,0.743
48,0.764,0.758
49,0.777,0.772
50,0.789,0.783
51,0.799,0.794
52,0.806,0.803
53,0.813,0.810
54,0.821,0.815
55,0.826,0.819
56,0.829,0.822
57,0.830,0.823
58,0.831,0.822
59,0.828,0.820
60,0.824,0.817
61,0.819,0.812
62,0.813,0.807
63,0.812,0.813
64,0.812,0.813
65,0.814,0.813
66,0.815,0.812
67,0.815,0.810
68,0.815,0.807
69,0.813,0.802
70,0.806,0.797
71,0.796,0.790
72,0.787,0.782
73,0.777,0.772
74,0.765,0.762
75,0.753,0.750
76,0.742,0.737
77,0.730,0.722
78,0.714,0.707
79,0.696,0.690
80,0.677,0.672
81,0.658,0.652
82,0.636,0.632
83,0.614,0.611
84,0.592,0.590
85,0.571,0.569
86,0.549,0.547
87,0.526,0.526
88,0.505,0.505
89,0.485,0.484
90,0.464,0.462
91,0.442,0.441
92,0.421,0.420
93,0.400,0.399
94,0.378,0.377
95,0.355,0.356
96,0.334,0.335
97,0.313,0.314
98,0.292,0.293
99,0.271,0.273
100,0.250,0.253
101,0.231,0.235
102,0.213,0.218
103,0.197,0.203
104,0.182,0.188
105,0.171,0.175
106,0.160,0.163
107,0.149,0.153
108,0.138,0.143
109,0.130,0.135
110,0.123,0.128
111,0.116,0.123
112,0.111,0.118
113,0.109,0.115
114,0.107,0.113
115,0.106,0.111
116,0.105,0.110
117,0.106,0.109
118,0.105,0.106
119,0.105,0.106
120,0.104,0.106
121,0.104,0.107
122,0.104,0.109
123,0.106,0.112
124,0.109,0.117
125,0.114,0.122
126,0.121,0.129
127,0.130,0.137
128,0.140,0.147
129,0.151,0.157
130,0.163,0.169
131,0.175,0.182
132,0.189,0.197
133,0.205,0.212
134,0.222,0.229
135,0.240,0.247
136,0.260,0.267
137,0.281,0.287
138,0.302,0.308
139,0.325,0.329
140,0.348,0.350
141,0.370,0.372
142,0.391,0.393
143,0.413,0.414
144,0.433,0.435
145,0.454,0.457
146,0.475,0.478
147,0.497,0.499
148,0.519,0.520
149,0.541,0.542
150,0.563,0.563
151,0.584,0.584
152,0.606,0.605
153,0.626,0.627
154,0.647,0.648
155,0.669,0.669
156,0.690,0.690
157,0.712,0.712
158,0.733,0.733
159,0.755,0.754
160,0.776,0.775
161,0.797,0.797
162,0.818,0.818
163,0.839,0.839
164,0.861,0.860
165,0.882,0.882
166,0.903,0.903
167,0.925,0.924
168,0.946,0.945
169,0.967,0.967
170,0.988,0.988
171,1.010,1.009
172,1.031,1.030
173,1.052,1.052
174,1.073,1.073
175,1.095,1.094
176,1.116,1.115
177,1.137,1.137
178,1.158,1.158
179,1.179,1.179
180,1.201,1.200
181,1.222,1.222
182,1.243,1.243
183,1.265,1.264
184,1.286,1.285
185,1.307,1.307
186,1.328,1.328
187,1.350,1.349
188,1.371,1.370
189,1.392,1.392
190,1.413,1.413
191,1.434,1.434
192,1.456,1.455
193,1.477,1.477
194,1.498,1.498
195,1.520,1.519
196,1.541,1.540
197,1.562,1.560
198,1.582,1.579
199,1.602,1.598
200,1.620,1.614
201,1.636,1.629
202,1.649,1.643
203,1.661,1.654
204,1.670,1.665
205,1.678,1.673
206,1.686,1.681
207,1.692,1.686
208,1.697,1.690
209,1.700,1.693
210,1.702,1.694
211,1.702,1.693
212,1.700,1.691
213,1.696,1.689
214,1.692,1.685
215,1.687,1.682
